"dv","iv","Rsquared","RsquaredSD","RMSE","RMSESD","all_folds_r","all_folds_r2","all_folds_rmse","shuffle_mean_r","shuffle_sem_r","shuffle_95p_r","shuffle_max_r","shuffle_mean_r2","shuffle_sem_r2","shuffle_95p_r2","shuffle_max_r2","shuffle_mean_rmse","shuffle_sem_rmse","iv_data","dv_data"
"Drug_Use","drift_rate",0.00916016382526703,0.00696117488025808,0.95730493899082,0.270196770069418,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",0.0303536773478493,0.039395051816281,0.957933998322017,0.279625870897236,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","threshold",0.0233175384364274,0.0336459929214887,0.934758563370584,0.362873040477109,-0.16892842814713,0.0285368138362602,0.995774631457764,-0.00513715249702601,0.00427637842464461,0.0598760676486219,0.101295850656266,0.00183684416642353,0.000251412351938546,0.00684269034543435,0.0133847671909934,0.990104156779846,0.0000855701321485311,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Mental_Health","drift_rate",0.0306009327123186,0.040374323708851,0.991054721181176,0.0810141579140955,0.0322215369728608,0.00103822744489344,0.994060510362124,-0.00233585882181963,0.00390398076133509,0.0583745138641533,0.0868997813523971,0.00151432174913805,0.000202754294590947,0.00587249817661482,0.00807278738490433,0.996562451012775,0.000287311374218357,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Mental_Health","non_decision",0.0200980601530116,0.0188759131461648,0.991853416049757,0.0985834184838349,-0.113161805944733,0.0128055943246733,0.996176825542485,0.00422208330571328,0.00428785002029262,0.071162321632534,0.0948107418906573,0.0018380061092962,0.000203828243812155,0.0057591601191693,0.00898907677785684,0.993668239724995,0.0000463092886781045,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Mental_Health","threshold",0.013153649121165,0.0164243323735904,0.987955043475525,0.126243769485152,-0.106446261446241,0.0113308065758814,0.995507202268197,0.00142093253240536,0.0042531731080576,0.0712751875291423,0.104149624590558,0.00179287771648498,0.000228127420189713,0.00637452294266116,0.0108471443023542,0.993674311148607,0.0000328972293529581,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Problem_Drinking","drift_rate",0.0203193530353181,0.030237147366482,0.95631611266346,0.272915745139331,0.000188268075194642,3.54448681374955e-08,0.990908219847159,0.00518876824995976,0.00408842625642014,0.0696628548905431,0.112975442978501,0.00168173101211616,0.000242350541393118,0.00645823832531074,0.0127634507161884,0.990464956235354,0.000243224634690486,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Problem_Drinking","non_decision",0.020436436452114,0.0445761035497642,0.95720846312056,0.266964987588377,-0.0814521983116617,0.00663446060980227,0.991253459526501,0.000973268319103006,0.00462849226748048,0.0805010363060697,0.130811890932281,0.0021218183775635,0.000291151686598714,0.00770798593788175,0.017111750809279,0.98914116300966,0.0000863385107090608,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Problem_Drinking","threshold",0.0150897396741312,0.0248571623343357,0.940286051265348,0.32254534364123,0.0515157871805434,0.00265387632883104,0.988037461229916,-0.00405324542998553,0.00455461747553058,0.062324066706789,0.0952409345499323,0.00207013829300814,0.000269500842940189,0.0079187452002547,0.0135755949309934,0.992252265593185,0.000347818949324906,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Daily_Smoking","drift_rate",0.0147820113385829,0.0175034902204422,0.98623631097775,0.0469461811205938,-0.101382336739821,0.0102783782028265,0.98743940618689,-0.00666047204748095,0.00399503634219611,0.0593066177649779,0.0906061602330791,0.00162443311006658,0.000207513067239191,0.00619756392584839,0.00820947627218241,0.98589825021536,0.0000262131090507484,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Daily_Smoking","non_decision",0.0161682459070443,0.0164165081977598,0.979207664135995,0.0594589798003211,0.100271674599853,0.0100544087270588,0.980896547774043,0.002688346858389,0.0041932245503543,0.0728665185973813,0.0864166162430727,0.00174795728967072,0.000250666675625861,0.00749663230717165,0.0117549078018141,0.991220195003016,0.000441662152052028,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Daily_Smoking","threshold",0.0279651416712941,0.0331073030560317,0.988039545437555,0.0318847029058138,-0.0612163799371116,0.0037474451726048,0.98860128784451,-0.00460342842965426,0.00429684598943141,0.068923453360196,0.0898512621843366,0.00184901721353933,0.000240952082758804,0.00676244177175225,0.0127380810161906,0.98638981407626,0.000124279966574605,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Binge_Drinking","drift_rate",0.0213341270640373,0.0204405239050725,0.977285917956584,0.115443239689179,-0.068266082836078,0.00466025806578227,0.983189277850348,-0.00129834587842444,0.00413278869606765,0.0576560115078589,0.097534982334773,0.00169260000024813,0.000249435798384814,0.00747403773970717,0.0136738585407708,0.981127242796893,0.000100028506091055,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Binge_Drinking","non_decision",0.0236039438575683,0.030487369438719,0.973932181053993,0.123595433536791,0.0365819104989542,0.0013382361757535,0.980725309481948,-0.00524370152792884,0.00456913433767173,0.0678855598159446,0.120968742110414,0.0020943182766874,0.000286642960088098,0.00798815385739671,0.0157268752132189,0.983437877764447,0.000305878841269509,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Binge_Drinking","threshold",0.0178314860328617,0.0216642751629813,0.976832402336514,0.106476414855003,-0.00221871192221227,4.92268259376685e-06,0.982028922546475,0.00160311162159044,0.00429799005617853,0.0696666271049986,0.104440016096994,0.00183136910064922,0.000230573544368331,0.00632151843978606,0.0109077169623404,0.981754999619819,0.000193201410886413,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Obesity","drift_rate",0.0192222008085817,0.025294561716722,0.987274109858452,0.0615940964937822,0.101418027254083,0.01028561625211,0.988875460872339,-0.0132542021906213,0.0041797818666308,0.0394328856330708,0.0749959839240056,0.00190526094451882,0.000315815935492422,0.00689233722322768,0.0205056774954393,1.00120379531033,0.000446857375291015,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Obesity","non_decision",0.00936896839325163,0.00905914241289861,0.992258122044954,0.0511842185812382,0.0375417543880072,0.00140938332252946,0.993401452796664,-0.00296388024664558,0.00418703367420831,0.0704148719174418,0.0945465164907456,0.00174437843402293,0.000231504193231075,0.00574746470465747,0.0128062323507104,0.995554902340245,0.000223295812678428,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Obesity","threshold",0.0110849177280792,0.0115818127462192,0.991877239780394,0.0550287162513531,0.0385696962424303,0.00148762146823334,0.993451510927793,0.0000859299118851521,0.00453093769199609,0.0691776118346497,0.113390164203083,0.00203241762445609,0.000285319201021121,0.00735890553368559,0.0139067725655646,0.995669877673996,0.00026404430867442,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Lifetime_Smoking","drift_rate",0.0165340584579597,0.023087180518802,0.992394945118617,0.0195094494777667,-0.128685527619465,0.0165599650187002,0.992575258535341,-0.0109741544765062,0.0043027997975979,0.0518492630494753,0.082041761551156,0.00195332659019686,0.000228692934756937,0.00696308234132975,0.00956279750082267,0.990715318921774,3.16402529821381e-06,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Lifetime_Smoking","non_decision",0.00969169126598903,0.00608774862961135,0.990898441697592,0.0196972163586145,0.0147622850103688,0.00021792505872736,0.990984429309827,-0.0039268203062997,0.00493652895283363,0.0775864153449789,0.106491881766531,0.00242798240983227,0.000281477633105428,0.00796355980917192,0.0145801536300486,0.99173578962089,0.000204586134388326,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
